trend.type,n.means,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10
Lin,2,-1,1,,,,,,,,
Lin,3,-1,0,1,,,,,,,
Quad,3,1,-2,1,,,,,,,
Lin,4,-3,-1,1,3,,,,,,
Quad,4,1,-1,-1,1,,,,,,
Cubic,4,-1,3,-3,1,,,,,,
Lin,5,-2,-1,0,1,2,,,,,
Quad,5,2,-1,-2,-1,2,,,,,
Cubic,5,-1,2,0,-2,1,,,,,
Lin,6,-5,-3,-1,1,3,5,,,,
Quad,6,5,-1,-4,-4,-1,5,,,,
Cubic,6,-5,7,4,-4,-7,5,,,,
Lin,7,-3,-2,-1,0,1,2,3,,,
Quad,7,5,0,-3,-4,-3,0,5,,,
Cubic,7,-1,1,1,0,-1,-1,1,,,
Lin,8,-7,-5,-3,-1,1,3,5,7,,
Quad,8,7,1,-3,-5,-5,-3,1,7,,
Cubic,8,-7,5,7,3,-3,-7,-5,7,,
Lin,9,-4,-3,-2,-1,0,1,2,3,4,
Quad,9,28,7,-8,-17,-20,-17,-8,7,28,
Cubic,9,-14,7,13,9,0,-9,-13,-7,14,
Lin,10,-9,-7,-5,-3,-1,1,3,5,7,9
Quad,10,6,2,-1,-3,-4,-4,-3,-1,2,6
Cubic,10,-42,14,35,31,12,-12,-31,-35,-14,42